Particle #,Steps,Kill Event,Charge,Starting Global x-Position (mm),Starting Global y-Position (mm),Starting Global z-Position (mm),Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Starting Momentum (GeV/c),Ending Momentum (GeV/c),Delta Momentum (GeV/c),Steps Inside Short Quad,Distance Inside Short Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Long Quad,Distance Inside Long Quad (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside Standoff Plate,Distance Inside Standoff Plate (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff,Distance Inside HV Standoff (cm),Total # of Photons Released,# of Detectable Photons Released,Steps Inside HV Standoff Screws,Distance Inside HV Standoff Screws (cm),Total # of Photons Released,# of Detectable Photons Released,dt,Pair Produced,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,8761,Calorimeter Contact,1.0,-4440.879,-5542.774,10.855,0.0575390860647,0.0117862811173,2.0117037,2.0117291,0.0000254,21.0,0.62956414149,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.761000e-09,1.71121612831,1.57112261959,1.38063507287
0,15997,Calorimeter Contact,1.0,5732.820,-4183.373,18.058,-0.0448128607918,0.0118967695497,2.8638304,2.5296286,-0.3342018,0.0,0.0,0,0,59.0,1.76877547068,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.599700e-08,1.60296724108,1.56942370694,1.48903365994
0,10387,Calorimeter Contact,1.0,7088.602,-588.283,0.121,-0.00320324458658,-0.00218842059163,2.4346351,2.4346351,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.038700e-08,1.64003179752,1.57005483789,1.45190663952
0,13636,Calorimeter Contact,1.0,-6343.407,3207.423,-1.872,-0.0297776793036,0.00069889667835,2.7535706,2.6988835,-0.0546871,41.0,1.22914905602,1,0,0.0,0.0,0,0,0.0,0.0,0,0,14.0,0.419709433677,0,0,12.0,0.359750943152,0,0,1.000000e-12,0.0,1.363600e-08,1.5979168882,1.57142755693,1.49408043889
0,4496,Calorimeter Top Contact,1.0,-6570.161,2730.395,3.633,0.0,0.0,1.9263664,1.9263664,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,4.496000e-09,0,0,0
0,9208,Calorimeter Top Contact,1.0,-3949.429,5936.784,18.460,0.0,0.0,2.6429060,2.1285590,-0.5143471,0.0,0.0,0,0,29.0,0.869398110749,2,2,68.0,2.03858865566,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.208000e-09,0,0,0
0,7538,Calorimeter Contact,1.0,-6362.459,3207.610,5.338,0.0203797246876,0.000791257679551,1.8991923,1.8991923,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,18.0,0.539626404867,0,0,0.0,0.0,0,0,1.000000e-12,0.0,7.538000e-09,1.72148494209,1.5687857818,1.37034451853
0,8306,Calorimeter Top Contact,1.0,-1288.888,-6986.522,20.522,0.0,0.0,2.6483683,2.6483683,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,8.306000e-09,0,0,0
0,5200,Calorimeter Top Contact,1.0,-5808.594,4114.951,-3.007,0.0,0.0,1.9752157,1.9752418,0.0000261,18.0,0.539626406342,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.200000e-09,0,0,0
0,16110,Calorimeter Contact,1.0,-2898.020,6496.031,-11.473,-0.111015015524,-0.00566407597137,2.9231409,2.9231418,0.0000009,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,1.611000e-08,1.55683745961,1.57201888563,1.60614603194
0,3639,Calorimeter Top Contact,1.0,-1069.355,6999.917,5.148,0.0,0.0,1.8407503,1.8407503,-0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,3.639000e-09,0,0,0
0,9197,Calorimeter Contact,1.0,910.241,-7063.446,35.419,0.10184057369,0.0365148033422,2.0262906,2.0262906,0.0000000,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,9.197000e-09,1.73262702785,1.57119339032,1.35919726635
0,5115,Calorimeter Top Contact,1.0,-6477.330,-2915.884,-20.477,0.0,0.0,2.2872284,2.2872548,0.0000265,0.0,0.0,0,0,26.0,0.779460371348,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1.000000e-12,0.0,5.115000e-09,0,0,0
