Photon #,Steps,Kill Event,Starting Global x-Position,Starting Global y-Position,Starting Global z-Position,Ending Calorimeter x-Position (mm),Ending Calorimeter y-Position (mm),Energy (GeV),Steps Inside Matter,Distance Inside Matter (cm),dt,Kill Timestamp,x Calorimeter Angle,y Calorimeter Angle,Total Calorimeter Angle
0,7293,Heading Out,-1.36917200135,6.92783360823,-0.0107623231918,0.0,0.0,0.0509442720694,28,0.008394188824,1e-12,2.185e-08,0,0,0
1,7293,Heading Out,-1.36857976331,6.92792718103,-0.0107628626724,0.0,0.0,0.715598292044,26,0.007794603908,1e-12,2.1852e-08,0,0,0
0,8548,Heading Out,2.95029904883,-6.41052949799,0.00140021854035,0.0,0.0,0.0708194579793,64,0.019186717312,1e-12,1.1402e-08,0,0,0
1,8559,Heading Out,2.9474835881,-6.41155938944,0.0014076508045,0.0,0.0,0.0446385087502,54,0.016188792732,1e-12,1.1423e-08,0,0,0
0,8530,Heading Out,6.77424845657,1.99369306505,0.000673379062399,0.0,0.0,0.102041321598,23,0.0068952265339999996,1e-12,1.4461e-08,0,0,0
0,7463,Heading Out,4.47358342494,5.46379556882,0.012878183016,0.0,0.0,0.37718789736,43,0.012891075694,1e-12,1.3923e-08,0,0,0
0,7659,Heading Out,-2.33691758072,6.66404409828,-0.00836613280106,0.0,0.0,0.0750649273123,60,0.01798754748,1e-12,1.4726e-08,0,0,0
0,7161,Heading Out,6.41238458064,2.95196929744,-0.00237047507748,0.0,0.0,1.27624467821,71,0.021285264518,1e-12,1.7218e-08,0,0,0
0,8585,Heading Out,6.38586962286,3.01477933507,-0.00699971020736,0.0,0.0,1.34545002946,29,0.008693981282,1e-12,1.2108e-08,0,0,0
0,7156,Heading Out,5.34247782122,-4.6181990078,0.0103323412645,0.0,0.0,0.0802958969789,87,0.026081943846,1e-12,1.2029e-08,0,0,0
0,8595,Heading Out,6.33974451796,3.11012852829,0.00784400683409,0.0,0.0,0.334952178836,21,0.0062956416179999995,1e-12,1.2771e-08,0,0,0
0,8712,Heading Out,2.61488095131,-6.55998922114,0.00940668213686,0.0,0.0,0.0966775502339,36,0.010792528487999999,1e-12,1.3524e-08,0,0,0
1,4135,Pair-Production in Long Quad,2.6108606353,-6.56119448333,0.00940793877716,0.0,0.0,0.820435019066,7,0.002098547206,1e-12,8.961e-09,0,0,0
0,7739,Heading Out,2.23967163794,-6.69732376252,0.0128658703221,0.0,0.0,0.0789696457827,55,0.01648858519,1e-12,1.4891e-08,0,0,0
0,7310,Heading Out,-3.13850790444,6.32610013285,0.0059691264437,0.0,0.0,0.0960786528215,74,0.022184641892,1e-12,1.7186e-08,0,0,0
1,7314,Heading Out,-3.13467762705,6.3278161,0.00597479632481,0.0,0.0,0.132197330565,58,0.017387962564,1e-12,1.7204e-08,0,0,0
0,6939,Heading Out,-5.16081739556,-4.82025954126,0.0223522485955,0.0,0.0,1.42903714814,40,0.011991698319999999,1e-12,2.4345e-08,0,0,0
1,6962,Heading Out,-5.16479592241,-4.81577384579,0.0223596779103,0.0,0.0,0.226374607921,18,0.0053962642439999995,1e-12,2.4388e-08,0,0,0
0,3159,Calorimeter Contact,5.60105895249,-4.26397981728,0.00146773506709,-0.110748296586,0.0020379469639,1.27464464879,15,0.00449688687,1e-12,9.043e-09,1.46577801186,1.57139842023,1.51521469122
0,18,Pair-Production in Long Quad,-5.84272966727,-3.9666527499,-0.017287880474,0.0,0.0,0.153541192541,18,0.0053962642439999995,1e-12,3.5502e-08,0,0,0
1,6602,Heading Out,-5.853962759,-3.94964094436,-0.017274389303,0.0,0.0,0.0769599770856,248,0.074348529584,1e-12,4.2154e-08,0,0,0
2,547,Pair-Production in Long Quad,-5.86054594873,-3.93961785436,-0.0172664533201,0.0,0.0,0.0605392042818,80,0.023983396639999998,1e-12,3.6139e-08,0,0,0
3,6611,Heading Out,-5.86399466585,-3.93435084081,-0.0172622869291,0.0,0.0,0.449657871661,137,0.041071566746,1e-12,4.2224e-08,0,0,0
0,8091,Heading Out,-5.33461404457,-4.62737249949,-0.00341278030542,0.0,0.0,0.0476155686897,62,0.018587132396,1e-12,1.2725e-08,0,0,0
0,2797,Calorimeter Contact,-2.62444123674,6.55600578945,0.00443065156939,-0.11034602784,0.0034452175868,0.0416550407923,9,0.0026981321219999997,1e-12,6.344e-09,1.50225624598,1.56962112004,1.55172306794
